Title,Date,data_file,Download Link
Very Urgent!!! Regarding Implementation of Suggestions (Followup),13 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220213052720-hKl9h-20781101_All_274.pdf,http://dos.gov.np/download/download/very-urgent-regarding-implementation-of-suggestions-followup/news
Regarding Submission of Scanned Copy and Soft Copy of Financial Statement,11 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220211064548-ymjEh-Account_FinancialStatement.pdf,http://dos.gov.np/download/download/regarding-submission-of-scanned-copy-and-soft-copy-of-financial-statement/news
Publication Related to Right to Information (2078 Kartik - Poush),03 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220203103351-zjz3O-RTI_2078_Kartik_to_Poush_compressed.pdf,http://dos.gov.np/download/download/publication-related-to-right-to-information-2078-kartik-poush/news
Circular Regarding  Boundary Demarcation for Forest Office,01 Feb 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220201071839-ALtSw-वन_सम्बन्धी_परिपत्र.pdf,http://dos.gov.np/download/download/regarding-circular/news
Regarding Junior Survey Training (Inservice),26 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220126104451-zklqT-20781012_Junior_InserviceTraining_Notice.pdf,http://dos.gov.np/download/download/regarding-junior-survey-training-inservice/news
Request from Survey Department,26 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220126054223-ccTaC-IMG_20220124_0001.pdf,http://dos.gov.np/download/download/request-from-survey-department/news
Regarding Implementation of Decision,11 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220111073357-nZ5Xa-निर्णय-कार्यान्वयन-सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision-2/news
Urgent!!! Regarding Financial Statement of Fiscal Year 2077/78,10 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220110061253-jXSrw-Notice_SampatiBibaran.pdf,http://dos.gov.np/download/download/urgent-regarding-financial-statement-of-fiscal-year-207778/news
"Call for Article (Journal on Geoinformatics, Nepal Vol 21)",07 Jan 2022,http://dos.gov.np/uploads/branch_1/notices/notices-20220107055454-trv1k-CallForArticle.pdf,http://dos.gov.np/download/download/call-for-article-journal-of-geoinformatics-vol-21/news
Regarding Direction,27 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211227063924-ScDST-20211227-115404588-005.pdf,http://dos.gov.np/download/download/regarding-direction/news
Proactive Disclosure,26 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211226084543-hdv7e-ProactiveDisclosure_DOS_.pdf,http://dos.gov.np/download/download/proactive-disclosure/news
Regarding Recruitment,26 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211226083240-okdkT-Notice20780911_Prasashan.pdf,http://dos.gov.np/download/download/regarding-recruitment/news
Regarding Submission of Soft copy and scan copy of Financial Report,21 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211221085850-inKvx-20780905_Account_SendAabiSoftCopy.pdf,http://dos.gov.np/download/download/regarding-submission-of-soft-copy-and-scan-copy-of-financial-report/news
Regarding Implementation of Decision,15 Dec 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211215094018-WmwI4-20780828_NirnayaKaryanwain.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision/news
तालिममा सहभागी हुन पठाई दिने सम्वन्धमा ।,22 Nov 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211122082928-xkXY4-napi-compressed.pdf,http://dos.gov.np/download/download/l-ii/news
Regarding Information,02 Nov 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211103064229-gcx8a-विवरण-उपलव्ध-गराउने-सन्दर्भमा.pdf,http://dos.gov.np/download/download/regarding-information/news
Regarding Inservice Training,02 Nov 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211102044300-HSCBj-IMG_20211101_0003-min.pdf,http://dos.gov.np/download/download/regarding-inservice-training/news
Regarding Ramana,02 Nov 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211102043945-g5W5s-IMG_20211101_0002.pdf,http://dos.gov.np/download/download/b/news
Regarding Recruitment in Contract Basis,06 Oct 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211006074824-oqVyx-20780619_AsthayiDarbandi.pdf,http://dos.gov.np/download/download/regarding-recruitment-in-contract-basis/news
Regarding Amendment on  Transfer Details,01 Oct 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211001135856-QgZu4-Transfer_Details_Amendment.pdf,http://dos.gov.np/download/download/regarding-amendment-on-transfer-details/news
Regarding Transfer of Employees[2021-10-01],01 Oct 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20211001095703-Uu2x8-सरुवा_पदस्थापन_सूचना_compressed.pdf,http://dos.gov.np/download/download/regarding-transfer-of-employees2021-10-01/news
Regarding amendment on Contract ID No: SD/G/NCB/2078/79/04,22 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210922035951-7VBvM-notice_addendum.pdf,http://dos.gov.np/download/download/regarding-amendment-on-contract-id-no-sdgncb20787904/news
Regarding Swiss Government Excellence Scholarship,16 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210916064613-zs5Z6-Swiss-min.pdf,http://dos.gov.np/download/download/regarding-swiss-government-excellence-scholarship/news
Regarding JDS Scholarship,16 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210916064107-lUZp2-JDS.pdf,http://dos.gov.np/download/download/regarding-jds-scholarship/news
Urgent! Regarding Submission of Financial Report,16 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210916055522-xbGLC-2080531_FinancialReport_Notice.pdf,http://dos.gov.np/download/download/urgent-regarding-submission-of-financial-report/news
Regarding Online Training on GIS (Open Source),14 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210914102438-IS94x-IMG_20210914_0001.pdf,http://dos.gov.np/download/download/regarding-online-training-on-gis-open-source/news
Invitation for Electronic Bids[2021-09-10],10 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210910045829-N6WOp-Suchana_2nd-lot.pdf,http://dos.gov.np/download/download/invitation-for-electronic-bids2021-09-10/news
Regarding the contract of cleaning service,06 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210906102139-adEMY-IMG_20210906_0001.pdf,http://dos.gov.np/download/download/regarding-the-contract-of-cleaning-service/news
Regarding 'Karyasampadan mulyankan[2021-09-05],05 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210905121007-KzbgJ-20780518_KaryaSampadanMulyankanSambandhara.pdf,http://dos.gov.np/download/download/regarding-karyasampadan-mulyankan2021-09-05/news
Regarding Participation for Senior Survey Training,02 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210902090621-n5RRw-IMG_20210902_0001.pdf,http://dos.gov.np/download/download/regarding-participation-for-senior-survey-training/news
Notice for National Competitive Bidding for Supply of Goods,01 Sep 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210901025119-AlLQc-suchana_final_surveydepartment.pdf,http://dos.gov.np/download/download/notice-for-national-competitive-bidding-for-supply-of-goods/news
Regarding Participants for Inservice Training,29 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210829085626-ryw4J-तालिम.pdf,http://dos.gov.np/download/download/regarding-participants-for-inservice-training-2/news
Regarding Participants for Inservice Training,29 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210829085225-P8hgW-talim.pdf,http://dos.gov.np/download/download/regarding-participants-for-inservice-training/news
Regarding Transfer Application[2021-08-27],27 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210827084821-Fxzf0-20780511_SaruwaTathaKaajNibedanSambandhama.pdf,http://dos.gov.np/download/download/regarding-transfer-application2021-08-27/news
Request for Expression of Interest[2021-08-20],27 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210827062904-qEhyo-Request-for-Expression-of-Interest.pdf,http://dos.gov.np/download/download/request-for-expression-of-interest2021-08-20/news
Regarding Participation in In-service Training[2078-05-01],17 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210817073204-5dgyv-20780521_SewakalinTalim.pdf,http://dos.gov.np/download/download/regarding-participation-in-in-service-training2078-05-01/news
Regarding Circular[2078-05-01],17 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210817072814-xKLQo-20780501_Paripatra.pdf,http://dos.gov.np/download/download/regarding-circular2078-05-01/news
Regarding Senior Survey Training,11 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210811050323-ml0Nh-Senior-compressed.pdf,http://dos.gov.np/download/download/regarding-senior-survey-training/news
Regarding Financial Report[2021-08-05],05 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210805114214-mbAsn-20780421_FinancialDetails.pdf,http://dos.gov.np/download/download/regarding-financial-report2021-08-05/news
Regarding Inservice Training for Non- gazetted employees[2021-08-05],05 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210805114112-WIQ8r-2078421_InServiceTraining_NonGazetted.pdf,http://dos.gov.np/download/download/regarding-application-for-inservice-trainingnon-gazetted2021-05-08/news
Regarding in-service training for Gazetted Class III officers[2021-08-02],03 Aug 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210803082918-EufNn-20780418_Sewakalin_Talim_Officer_Paripatra.pdf,http://dos.gov.np/download/download/regarding-in-service-training-for-gazetted-class-iii-officers/news
Regarding implementation of Progress regarding Right to Information,30 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210730092810-3gAGC-20780415_सुचनाको_हक_कार्यान्वयन_सम्बन्धी_प्रगति_विवरण_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-implementation-of-progress-regarding-right-to-information/news
Regarding Welfare Advertisement(2078-04-15),30 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210730091904-uZRhy-20780415_लोक_कल्याणकारी_विज्ञापन_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-welfare-advertisement2078-04-15/news
Regarding progress report for  Right to Information(2078-04-14),30 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210730091628-mFfTG-20780415_सुचनाको_हक_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-progress-report-for-implementation-of-right-to-information2078-04-14/news
Regarding Listing of Firms,28 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210728143723-B3JRP-20780413_Store_ListingOfFirms.pdf,http://dos.gov.np/download/download/regarding-listing-of-firms/news
Regarding Implementation of Decision(2078-04-12),27 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210727113234-fvIDr-20780412_NirnayaKaryanwain_MOLMCPA_compressed.pdf,http://dos.gov.np/download/download/regarding-implementation-of-decision2078-04-12/news
Regarding Depositing Revenue,27 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210727113135-0xMUb-20780412_Rajaswo_Dakhila.pdf,http://dos.gov.np/download/download/regarding-depositing-revenue/news
Implementation of Decision,26 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210726073209-uaxti-20780410_Nirnaya_Karyanwyain_02.pdf,http://dos.gov.np/download/download/implementation-of-decision-2/news
Implementation of Decision,26 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210726073146-PxZSy-20780410_Nirnaya_Karyanwain_01.pdf,http://dos.gov.np/download/download/implementation-of-decision/news
Implementation of Point no. 62,26 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210726073111-uFWLI-20780410_Point62_Implementation.pdf,http://dos.gov.np/download/download/implementation-of-point-no-62/news
Regarding Employee Details,22 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210722063649-TRWts-कर्मचारी-विवरण-पठाउने-सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-employee-details/news
Format for Annual Progress Report,19 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210719064007-Tx07v-Annual_Report_Format.doc,http://dos.gov.np/download/download/format-for-annual-progress-report/news
Regarding Performance Evaluation Form,19 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210719070722-en5gi-20780401_RegardingKaSamu.pdf,http://dos.gov.np/download/download/regarding-performance-evaluation-form/news
Notice Regarding Submission of Sampati Bibaran,18 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210718115700-9cPjB-Sampati_Bibaran_Notice.pdf,http://dos.gov.np/download/download/notice-regarding-submission-of-sampati-bibaran/news
Regarding incorporation of suggestions and feedbacks,14 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210714044929-zE8J8-सुझाव-कार्यान्वयन-सम्बन्धमा-(2).pdf,http://dos.gov.np/download/download/regarding-incorporation-of-suggestions-and-feedbacks/news
About Progress Report of Fiscal Year 2077/78,14 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210714014311-4EfD2-notice_annual_report.pdf,http://dos.gov.np/download/download/about-progress-report-of-fiscal-year-207778/news
Regarding complaint foreclosure,14 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210714012647-FPjJO-उजुरी_फर्छ्यौट_सम्बन्धमा.pdf,http://dos.gov.np/download/download/regarding-complaint-foreclosure-2/news
Regarding Program Amendment,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709110215-I302k-Account_-_Copy.pdf,http://dos.gov.np/download/download/regarding-program-amendment/news
Regarding Google Plus code,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709110107-ss7iI-Regarding_Google_Plus_code.pdf,http://dos.gov.np/download/download/regarding-google-plus-code/news
Regarding the decisions of the secretary meeting,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709110000-DJJxC-Regarding_the_decisions_of_the_secretary_meeting.pdf,http://dos.gov.np/download/download/regarding-the-decisions-of-the-secretary-meeting/news
Regarding Service Delivery,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105636-g0uh3-Regarding_Service_Delivery.pdf,http://dos.gov.np/download/download/regarding-service-delivery/news
RegardingToll Free Number,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105249-JlRVh-tol_free_no2.pdf,http://dos.gov.np/download/download/regardingtoll-free-number/news
Regarding support for lidar survey,09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105140-fenUc-Lidar.pdf,http://dos.gov.np/download/download/regarding-support-for-lidar-survey-2/news
"Tender Result(Supply and delivery of computer and accessories, power backup and stationery)",09 Jul 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709105052-nJQWw-result2.pdf,http://dos.gov.np/download/download/tender-resultsupply-and-delivery-of-computer-and-accessories-power-backup-and-stationery/news
Bid invitation notice for sale of used goods at auction,04 Jun 2021,http://dos.gov.np/uploads/branch_1/notices/notices-20210709104240-dARLQ-Lilami_Suchana.pdf,http://dos.gov.np/download/download/regarding-support-for-lidar-survey/news
